<CdSiteHydro>,<LbSiteHydro>,<Annee>,<TypeCampObservations>,<DtRealObservation>,<LbRsObservationDpt>,<RsObservationDpt>,<LbRsObservationNat>,<RsObservationNat>,<NomEntiteHydrographique>,<CdTronconHydrographique>,<LbCommune>,<CdCommune>,<CdDepartement>,<LbRegion>,<NomCircAdminBassin>,<CoordXSiteHydro>,<CoordYSiteHydro>,<ProjCoordSiteHydro>,FLG
Y4200004,La Touloubre en amont de la STEP de Venelles - Les Logissons,2014,usuelle,2014-06-24,Ecoulement visible acceptable,1a,Ecoulement visible,1,La Touloubre,Y42-0400,VENELLES,13113,13,PROVENCE-ALPES-COTE-D'AZUR,RHONE-MEDITERRANEE-CORSE,899849,6279281,26,FLG
X3001011,L'Abéou en amont de Saint-Paul-les-Durance,2014,usuelle,2014-06-24,Ecoulement visible acceptable,1a,Ecoulement visible,1,L'Abéou,X3000500,SAINT-PAUL-LES-DURANCE,13099,13,PROVENCE-ALPES-COTE-D'AZUR,RHONE-MEDITERRANEE-CORSE,919554.9,6290183,26,FLG
X3010001,Le Réal de Jouques en amont de Jouques,2014,usuelle,2014-06-24,Ecoulement visible acceptable,1a,Ecoulement visible,1,Le Réal,X3010560,JOUQUES,13048,13,PROVENCE-ALPES-COTE-D'AZUR,RHONE-MEDITERRANEE-CORSE,915456.8,6283968,26,FLG
Y4022012,Le Bayon en amont de Saint-Antonin-sur-Bayon,2014,usuelle,2014-06-24,Ecoulement visible acceptable,1a,Ecoulement visible,1,Le Bayeux,Y4020540,SAINT-ANTONIN-SUR-BAYON,13090,13,PROVENCE-ALPES-COTE-D'AZUR,RHONE-MEDITERRANEE-CORSE,909582.440908374,6272070.06141807,26,FLG
Y4022011,Le Bayon avant sa confluence avec le ruisseau de Roques-Hautes,2014,usuelle,2014-06-24,Ecoulement visible acceptable,1a,Ecoulement visible,1,Le Bayeux,Y4020540,BEAURECUEIL,13012,13,PROVENCE-ALPES-COTE-D'AZUR,RHONE-MEDITERRANEE-CORSE,905920.3,6272372,26,FLG
Y4100001,La Cause à l'amont de Vauvenargues,2014,usuelle,2014-06-24,Ecoulement visible faible,1f,Ecoulement visible,1,La Cause,Y4100500,VAUVENARGUES,13111,13,PROVENCE-ALPES-COTE-D'AZUR,RHONE-MEDITERRANEE-CORSE,911379.6,6276347,26,FLG
Y4002011,L'Arc à Trets,2014,usuelle,2014-06-24,Ecoulement visible acceptable,1a,Ecoulement visible,1,L'Arc,Y4--0200,TRETS,13110,13,PROVENCE-ALPES-COTE-D'AZUR,RHONE-MEDITERRANEE-CORSE,918415.499089111,6267861.10980297,26,FLG
Y4415622,La Vède à Auriol,2014,usuelle,2014-06-24,Ecoulement visible acceptable,1a,Ecoulement visible,1,Ruisseau de Vède,Y4410520,AURIOL,13007,13,PROVENCE-ALPES-COTE-D'AZUR,RHONE-MEDITERRANEE-CORSE,915789.058954514,6254763.05531876,26,FLG
Y4415621,L'Huveaune à Auriol,2014,usuelle,2014-06-24,Ecoulement visible acceptable,1a,Ecoulement visible,1,L'Huveaune,Y44-0400,AURIOL,13007,13,PROVENCE-ALPES-COTE-D'AZUR,RHONE-MEDITERRANEE-CORSE,914750.2,6255993.5,26,FLG
Y4415623,Le Merlançon avant sa confluence avec l'Huveaune,2014,usuelle,2014-06-24,Ecoulement visible acceptable,1a,Ecoulement visible,1,Le Merlançon,Y4410560,AURIOL,13007,13,PROVENCE-ALPES-COTE-D'AZUR,RHONE-MEDITERRANEE-CORSE,911580.2,6255485.5,26,FLG
Y4425012,Le Fauge à l'aval du parc de St-Pons,2014,usuelle,2014-06-24,Ecoulement visible acceptable,1a,Ecoulement visible,1,Torrent du Fauge,Y4420500,GEMENOS,13042,13,PROVENCE-ALPES-COTE-D'AZUR,RHONE-MEDITERRANEE-CORSE,914592.2,6247239.5,26,FLG
Y4200001,Le Ruisseau de Concernade avant sa confluence avec la Touloubre,2014,usuelle,2014-06-24,Ecoulement visible acceptable,1a,Ecoulement visible,1,Ruisseau de Concernade,Y4201120,LA BARBEN,13009,13,PROVENCE-ALPES-COTE-D'AZUR,RHONE-MEDITERRANEE-CORSE,878032.373251931,6283595.37607302,26,FLG
Y4306514,Le Gaudre d'Aureille à Mouriès,2014,usuelle,2014-06-24,Ecoulement visible acceptable,1a,Ecoulement visible,1,Gaudre d'Aureille,Y4300580,MOURIES,13065,13,PROVENCE-ALPES-COTE-D'AZUR,RHONE-MEDITERRANEE-CORSE,851590.9,6289463.5,26,FLG
Y4306511,Le Gaudre de Malaga à Mouriès,2014,usuelle,2014-06-24,Ecoulement visible acceptable,1a,Ecoulement visible,1,Gaudre de Malaga,Y4301040,MAUSSANE-LES-ALPILLES,13058,13,PROVENCE-ALPES-COTE-D'AZUR,RHONE-MEDITERRANEE-CORSE,849130.967146072,6290747.75051384,26,FLG
Y4425011,Le Fauge à l'amont du passage busé du village de Gémenos,2014,usuelle,2014-06-24,Ecoulement visible acceptable,1a,Ecoulement visible,1,Torrent du Fauge,Y4420500,GEMENOS,13042,13,PROVENCE-ALPES-COTE-D'AZUR,RHONE-MEDITERRANEE-CORSE,913607.490281013,6247832.64601873,26,FLG
V1525412,Le Morges à Saint Franc,2014,usuelle,2014-06-25,Ecoulement visible acceptable,1a,Ecoulement visible,1,Le Morges,V1520520,SAINT-FRANC,73233,73,RHONE-ALPES,RHONE-MEDITERRANEE-CORSE,915233.8,6491064.5,26,FLG
W1074033,Le ruisseau de Saint-Léger à Saint-Léger,2014,usuelle,2014-06-26,Ecoulement visible acceptable,1a,Ecoulement visible,1,ruisseau de St Léger,"",SAINT-LEGER,73252,73,RHONE-ALPES,RHONE-MEDITERRANEE-CORSE,956472.7,6488180.5,26,FLG
W1074032,Le ruisseau de la Chapelle à La Chapelle,2014,usuelle,2014-06-26,Ecoulement visible acceptable,1a,Ecoulement visible,1,ruisseau de la Chapelle,"",LA CHAPELLE,73074,73,RHONE-ALPES,RHONE-MEDITERRANEE-CORSE,956697.3,6484107.5,26,FLG
V1318213,Le Nant Bruyant à La-Motte-Servolex,2014,usuelle,2014-06-23,Ecoulement visible acceptable,1a,Ecoulement visible,1,Le Nant Bruyant,V1310730,LA MOTTE-SERVOLEX,73179,73,RHONE-ALPES,RHONE-MEDITERRANEE-CORSE,924027.5,6503337,26,FLG
V1258414,Le ruisseau de Saint-François à Arith,2014,usuelle,2014-06-26,Ecoulement visible acceptable,1a,Ecoulement visible,1,Ruisseau de Saint-François,V1250700,LESCHERAINES,73146,73,RHONE-ALPES,RHONE-MEDITERRANEE-CORSE,939546.070024832,6515767.38934154,26,FLG
